experiment_id,date,family,hypothesis,pair,session,timeframe,params_json,dataset_start,dataset_end,is_trades,is_wr,is_pf,is_dd,is_prof_months,oos_trades,oos_wr,oos_pf,oos_pnl,oos_dd,wf_folds,wf_consistency_pct,mc_risk_of_ruin_pct,decision,status,notes
EXP-057,2026-08-11,downmove_candle_shape_baseline,crosscut_consistency_and_cost_stress,ALL_9,ALL,M15,{},,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,RESEARCH,EXPLORATORY,"Pair: 7/9 pairs show B PF > A PF (USDJPY, GBPJPY exceptions). Year: 3/4 years B>A (2024 near-tie, marginally worse). Session: B improvement concentrated in ASIAN hours (PF 0.939 vs A 0.844, closest either gets to breakeven) -- descriptive only, no filter built/applied. Cost stress: B edge over A persists at 1.5x/2x spread and 1-bar delay, but neither approaches breakeven at any tier."
EXP-058,2026-08-11,downmove_candle_shape_baseline,statistical_comparison_B_vs_A,ALL_9,ALL,M15,{},,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,RESEARCH,EXPLORATORY,"Bootstrap CI (2000 draws): expectancy-pips B-A mean_diff=+0.038, 95%CI=[-0.143,+0.223] (includes zero, NOT significant). Mean-R B-A mean_diff=+0.019R, 95%CI=[+0.002,+0.037] (entirely above zero, P(B>A)=0.982, statistically real but economically tiny). Raw reversal probability gap between shape halves only 1.1pp (54.27% vs 53.14%) -- binarizing the continuous shape_score (phase17 d=0.06-0.11) into a median split discards most of its resolving power, identified as the primary driver of the weak trading result. MFE/MAE ratio unchanged across A/B/C (~0.74-0.75) -- same unfavorable payoff geometry phase15 already identified, not fixed by the shape filter."
EXP-059,2026-08-11,downmove_candle_shape_baseline,Final classification: does the T0 candle-shape signal improve the failed 1:1 baseline economics,ALL_9,ALL,M15,{},,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,REJECT,NO ECONOMIC IMPROVEMENT,"Classification A: NO ECONOMIC IMPROVEMENT (not B-promising, not C-strong, not D-artifact -- signal is real/correctly-directional per B>A>C ordering but too small to matter). Diagnosis (Part12, no optimization followed): primarily a weak probability shift after binarizing the continuous shape_score (only 1.1pp raw reversal-rate gap between shape halves vs phase17 continuous d=0.06-0.11), secondarily unchanged/unfavorable MFE:MAE payoff ratio (~0.74-0.75 across A/B/C, same structural issue as phase15), NOT primarily a transaction-cost or timing problem (both A and B lose money even before cost stress; Part4 confirmed shape rule is genuinely T0-available). No parameter optimized, no filter added beyond the single frozen composite, no ARB/AMR/Monday-drift/XAUUSD ARB modified. Closes out this line of inquiry as currently implemented. See reports/down_move_candle_shape_baseline.md."
EXP-060,2026-08-11,london_ny_volatility_persistence,reproduction_and_methodology_bug,ALL_9,LONDON_NY,H1,{},,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,RESEARCH,EXPLORATORY,"CRITICAL: initial reproduction attempt used overlapping London=[7,16)/NY=[12,21) masks and got 79-86%, NOT matching claimed 62-75%. Root cause found: original phase14 add_session_col() sequentially overwrote session labels, so hours 12-15 were claimed by NY, making the ORIGINAL effective London window disjoint [7,12). Corrected reproduction with LONDON=[7,12) matches exactly: 62.4%-74.6% across 9 pairs. Bug was in reproduction code, not underlying data. All downstream parts use the corrected disjoint definition."
EXP-061,2026-08-11,london_ny_volatility_persistence,conditional_distribution_and_timing,ALL_9,LONDON_NY,H1,{},,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,RESEARCH,EXPLORATORY,"Part2: monotonic dose-response across 5 London-range quintile bins (P(NY tophalf) 30.0%->71.4%, P(NY topquartile) 13.0%->43.3%) -- genuine smooth relationship not a threshold artifact. Part3: most predictive content available after just first hour of London (corr 0.324 at 1hr vs 0.340 at full 5hr session) -- very early signal, minimal marginal value from waiting."
EXP-062,2026-08-11,london_ny_volatility_persistence,persistence_baseline_comparison,ALL_9,LONDON_NY,H1,{},,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,RESEARCH,EXPLORATORY,CRITICAL/tempering finding: recent H1 ATR percentile at NY session start (pooled corr=0.453) predicts NY volatility BETTER than Londons own session-range construct (corr=0.340). London beats Asian-session (0.274) and prev-day (0.281) baselines but does NOT clearly add value beyond the simplest already-available generic persistence measure. Central reason this does not classify as STRONG predictive signal.
EXP-063,2026-08-11,london_ny_volatility_persistence,session_timing_direction_and_robustness,ALL_9,LONDON_NY,H1,{},,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,RESEARCH,EXPLORATORY,"Part6: elevated NY volatility persists through ALL 4 session quarters (68-76% vs ~50% baseline), not just early spillover. Part7: directional independence confirmed clean (pooled 50.48%, no directional signal). Part9: pair/year consistency mostly holds but 2/36 pair-year cells (CADJPY, EURJPY, both 2026 YTD) fall BELOW baseline -- flagged, likely small-sample (partial year) not necessarily regime break. Part12: robust to 3 pre-specified session-boundary shifts (68.6-70.0%). Part5 news confound: data-limited (no historical FF calendar available), NFP-proxy split inconclusive with corrected smaller sample -- stated as unresolved, not forced."
EXP-064,2026-08-11,london_ny_volatility_persistence,null_test_and_existing_strategy_observational_check,ALL_9,LONDON_NY,H1,{},,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,RESEARCH,EXPLORATORY,"Part11 null test (permute London-NY same-day pairing within pair/year, preserving marginals): ALL 9 pairs at 100th percentile vs 1000 shuffles -- maximally decisive linkage evidence. Part14 (observational only, no strategy modified): consistent pattern across ALL 4 AMR variants + 2/3 ARB (GBPJPY, CADJPY) showing WORSE mean P&L and win rate on topQ-London days; XAUUSD ARB and GBPUSD Monday show opposite. CRITICAL TIMING CAVEAT: none of the 8 strategies entries (ARB=hr7-8, AMR=hr0-4, Monday=hr0 Monday) occur after London completes, so this is retrospective/observational only, NOT a usable real-time filter for these strategies. Circumstantial relevance to AMRs already-documented regime-dependence question, documented not implemented."
EXP-065,2026-08-11,london_ny_volatility_persistence,"Final classification: is London-session volatility a reliable, early, incremental predictor of NY volatility regime",ALL_9,LONDON_NY,H1,{},,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,RESEARCH,B. PREDICTIVE VOLATILITY SIGNAL,"Classification B: PREDICTIVE VOLATILITY SIGNAL (not A-descriptive-only: null test 9/9 pairs at 100th pctile + monotonic dose-response + early-checkpoint availability establish genuine forecasting value. Not C-strong: beaten by simpler already-available recent-ATR-percentile baseline in raw correlation, and 2/36 pair-year cells fall below baseline in smallest-sample year. Not D-artifact: survives null test + boundary robustness; the one artifact found was in initial reproduction code (session-overlap bug), corrected before downstream analysis, not in the underlying phenomenon). Portfolio relevance: POTENTIAL REGIME INFORMATION (not NO-USEFUL-RELATIONSHIP given consistent AMR/ARB observational pattern; not STRONG given none of the 8 strategies can observe this signal before their own entry -- explicitly NOT called a trading edge). No strategy built/modified, no AMR filter created, demo account untouched. See reports/london_ny_volatility_persistence.md."
EXP-066,2026-08-11,volatility_regime_strategy_diagnostics,Does entry-time ATR-percentile regime explain GBPJPY_ARB historical performance,GBPJPY_ARB,ENTRY_SESSION,MIXED,{},,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,RESEARCH,OBSERVATIONAL,"Inverted-U regime pattern: LOW PF=1.10, NORMAL-LOW PF=1.93, NORMAL-HIGH PF=2.25(best), HIGH PF=0.87(only losing regime). Quintiles confirm non-monotonic (Q4 best +325, Q5 worst -33). Only 2024 has sufficient sample for HI-vs-LO year comparison, confirms direction (hi=-131.7 vs lo=+247.0). Classification: C. STABLE."
EXP-067,2026-08-11,volatility_regime_strategy_diagnostics,Does entry-time ATR-percentile regime explain CADJPY_ARB historical performance,CADJPY_ARB,ENTRY_SESSION,MIXED,{},,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,RESEARCH,OBSERVATIONAL,"Same inverted-U pattern as GBPJPY ARB (shared signal function): LOW PF=1.10, NORMAL-LOW PF=1.50, NORMAL-HIGH PF=1.79(best), HIGH PF=0.67(worst, losing). 2024 confirms (hi=-176.3 vs lo=+19.5). Classification: C. STABLE."
EXP-068,2026-08-11,volatility_regime_strategy_diagnostics,Does entry-time ATR-percentile regime explain XAUUSD_ARB historical performance,XAUUSD_ARB,ENTRY_SESSION,MIXED,{},,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,RESEARCH,OBSERVATIONAL,"Contradicts ARB siblings: HIGH is XAUUSD ARBs BEST regime (PF=1.52), NORMAL-LOW is worst (PF=0.86). All years individually insufficient; 2026 has ZERO low/normal-low trades (persistently elevated vol this year). No coherent gradient. Classification: B. WEAK/INCONSISTENT."
EXP-069,2026-08-11,volatility_regime_strategy_diagnostics,Does entry-time ATR-percentile regime explain GBPJPY_AMR historical performance,GBPJPY_AMR,ENTRY_SESSION,MIXED,{},,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,RESEARCH,OBSERVATIONAL,"Clean monotonic decline: win rate 74.8%->61.5%, PF 1.92->1.19 LOW to HIGH. Year check MIXED: 2024 confirms (hi=-27.5 vs lo=+28.9), 2025 contradicts (hi=+81.0 vs lo=+73.3, HIGH slightly better). Classification: C. STABLE."
EXP-070,2026-08-11,volatility_regime_strategy_diagnostics,Does entry-time ATR-percentile regime explain EURJPY_AMR historical performance,EURJPY_AMR,ENTRY_SESSION,MIXED,{},,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,RESEARCH,OBSERVATIONAL,"Inverted-U not monotonic: LOW anomalously weak (PF=1.04), NORMAL-LOW peak (PF=1.35), HIGH weakest tail (PF=1.01). Year check MIXED: 2024 confirms (hi=-55.7 vs lo=-1.0), 2025 contradicts (hi=+31.2 vs lo=+23.9). Classification: B. WEAK/INCONSISTENT."
EXP-071,2026-08-11,volatility_regime_strategy_diagnostics,Does entry-time ATR-percentile regime explain AUDJPY_AMR historical performance,AUDJPY_AMR,ENTRY_SESSION,MIXED,{},,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,RESEARCH,OBSERVATIONAL,"STRONGEST finding of the study. Clean monotonic decline: win rate 75.1%->59.6%, PF 1.35->0.85(net losing) LOW to HIGH. CONFIRMED IN ALL 3 TESTABLE YEARS (2024,2025,2026 all show HIGH underperforming LOW+NORMAL-LOW) -- only strategy in the whole diagnostic with full cross-year confirmation. Classification: D. STRONG. Flagged for the existing AMR checkpoint (~2026-08-25), NOT implemented."
EXP-072,2026-08-11,volatility_regime_strategy_diagnostics,Does entry-time ATR-percentile regime explain CADJPY_AMR historical performance,CADJPY_AMR,ENTRY_SESSION,MIXED,{},,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,RESEARCH,OBSERVATIONAL,"Clean monotonic decline, largest swing in study: win rate 81.2%(highest of any cell in study)->56.9%, PF 1.85->0.76(net losing) LOW to HIGH. Confirmed in 2/2 testable years (2024, 2025); 2023/2026 insufficient sample. Classification: C. STABLE (borderline D, fewer testable years than AUDJPY). Flagged for existing AMR checkpoint, NOT implemented."
EXP-073,2026-08-11,volatility_regime_strategy_diagnostics,Does entry-time ATR-percentile regime explain GBPUSD_MONDAY historical performance,GBPUSD_MONDAY,ENTRY_SESSION,MIXED,{},,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,RESEARCH,OBSERVATIONAL,"No coherent gradient: NORMAL-HIGH is best regime (PF=3.00), not an extreme; LOW regime insufficient sample (n=19). ALL year-level splits insufficient given weekly trade frequency (~1/week). Classification: B. WEAK/INCONSISTENT -- appropriately not forced to a conclusion given small sample, consistent with instructions."
EXP-074,2026-08-11,volatility_regime_strategy_diagnostics,Does entry-time ATR-percentile regime explain PORTFOLIO historical performance,PORTFOLIO,ENTRY_SESSION,MIXED,{},,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,RESEARCH,OBSERVATIONAL,"Part11: portfolio daily P&L NOT simply worse in HIGH regime -- worst drawdown (-8,640, ~3x every other regime) occurs in NORMAL-HIGH bucket specifically. Part12 clustering: mean simultaneous losers also peaks at NORMAL-HIGH (2.38 vs 1.79 LOW), pct days 2+ losers 63.9% NORMAL-HIGH vs 46.8% LOW. Not a clean monotonic risk-with-volatility story. Portfolio classification: POTENTIAL REGIME DEPENDENCE (not clear, not none). Explicitly NOT called a trading edge."
EXP-075,2026-08-11,volatility_regime_strategy_diagnostics,Final per-strategy classifications and portfolio-level regime dependence assessment,ALL_8,ALL,MIXED,{},,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,RESEARCH,DIAGNOSTIC COMPLETE,"Classifications: AUDJPY_AMR=D(STRONG, 3/3 years confirmed), CADJPY_AMR=C(STABLE, 2/2 years confirmed), GBPJPY_ARB=C, CADJPY_ARB=C, GBPJPY_AMR=C(mixed years), XAUUSD_ARB=B, EURJPY_AMR=B(mixed years), GBPUSD_MONDAY=B. Portfolio=POTENTIAL REGIME DEPENDENCE (not clean monotonic -- worst DD/clustering at NORMAL-HIGH not HIGH). AUDJPY/CADJPY AMR findings explicitly flagged as evidence for the existing ~2026-08-25 AMR checkpoint, NOT implemented as a filter. No strategy modified, no demo account change. See reports/volatility_regime_strategy_diagnostics.md."
EXP-076,2026-08-11,amr_regime_mechanism,"Is volatility a causal variable for AUDJPY AMR performance, or a proxy for trend/persistence",AUDJPY,ASIAN,M15,{},,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,RESEARCH,MECHANISM ANALYSIS,"Volatility effect survives conditioning on trend in ALL 3 trend terciles (LOW/NORMAL/HIGH TREND diffs all negative: -25.97/-29.91/-81.54, strongest in HIGH TREND). Reverse conditioning (trend within vol) is sign-UNSTABLE across vol terciles. Directional asymmetry: SELL@HIGH-vol PF=0.58 (worst cell in study). MFE:MAE ratio drops below 1.0 in HIGH regime (0.97) -- adverse exceeds favorable excursion. Year check (terciles): 2024/2025 confirm, 2026 near-zero both sides (not a real contradiction). Classification: B. VOLATILITY-DEPENDENT, most robust finding in the study."
EXP-077,2026-08-11,amr_regime_mechanism,"Is volatility a causal variable for CADJPY AMR performance, or a proxy for trend/persistence",CADJPY,ASIAN,M15,{},,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,RESEARCH,MECHANISM ANALYSIS,"Volatility effect is trend-CONDITIONAL: near-zero within LOW TREND tercile (diff=+1.36) but strong within NORMAL/HIGH TREND (diff=-93.37/-62.75) -- an interaction, not a pure independent volatility effect (differs from AUDJPY). Vol-transition analysis also differs from AUDJPY (contracting/stable vol better, not expanding). MFE:MAE ratio also drops below 1.0 in HIGH regime (0.98). Year check (terciles): all 3 testable years confirm (2024/2025/2026), strongest of any pair. Classification: D. VOLATILITY+TREND INTERACTION -- real but more complex than a simple filter would capture."
EXP-078,2026-08-11,amr_regime_mechanism,"Is volatility a causal variable for GBPJPY AMR performance, or a proxy for trend/persistence",GBPJPY,ASIAN,M15,{},,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,RESEARCH,MECHANISM ANALYSIS,"CRITICAL REVISION of phase20 C.STABLE classification: volatility effect REVERSES SIGN in HIGH TREND tercile (+19.89, positive -- high vol becomes slightly BETTER there), contradicting the LOW/NORMAL TREND terciles (-83.97/-103.43). Phase20 pooled 4-bin table looked stable but does not survive trend-conditioning. Classification: E. OTHER/INCONCLUSIVE (downgraded from phase20 C)."
EXP-079,2026-08-11,amr_regime_mechanism,"Is volatility a causal variable for EURJPY AMR performance, or a proxy for trend/persistence",EURJPY,ASIAN,M15,{},,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,RESEARCH,MECHANISM ANALYSIS,"Volatility effect sign-unstable across trend terciles (LOW TREND +31.78 reversed, NORMAL near-zero +5.61, HIGH TREND -34.82) -- consistent with phase20 weak/mixed classification, conditioning analysis confirms instability rather than resolving it. Classification: E. OTHER/INCONCLUSIVE (matches phase20 B, restated with deeper evidence)."
EXP-080,2026-08-11,amr_regime_mechanism,"Is volatility a causal variable for CROSS_PAIR AMR performance, or a proxy for trend/persistence",CROSS_PAIR,ASIAN,M15,{},,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,RESEARCH,MECHANISM ANALYSIS,"Part7 market-location finding is the MOST CONSISTENT result in the whole study: all 4 pairs (incl. weak GBPJPY/EURJPY) show NEAR_LOW-in-range best, NEAR_HIGH-in-range worst (net losing in 3/4 pairs). Part8 directional asymmetry: AMR edge overwhelmingly carried by BUY-side (dip-buying, PF 1.66-2.60 at LOW vol across all pairs); SELL-side (rally-fading) structurally weaker, collapses hardest in high vol (AUDJPY/CADJPY SELL@HIGH both net-losing PF 0.58-0.66). This directional asymmetry likely underlies much of the pooled volatility-regime story rather than being a wholly separate phenomenon. Part6 vol-transition: 3/4 pairs (not CADJPY) show already-SUSTAINED high vol is worse than RECENTLY-EXPANDING vol within the HIGH-ATR bucket -- nuance beyond simple ATR-percentile level."
EXP-081,2026-08-11,amr_regime_mechanism,Final per-pair mechanism classifications and confirmatory-experiment recommendation,ALL_4,ASIAN,M15,{},,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,RESEARCH,MECHANISM RESEARCH COMPLETE,"Classifications: AUDJPY_AMR=B(VOLATILITY-DEPENDENT, robust, multi-angle corroborated -- strongest/cleanest finding), CADJPY_AMR=D(VOLATILITY+TREND INTERACTION -- real but conditional on trend), GBPJPY_AMR=E(OTHER/INCONCLUSIVE -- REVISED DOWNWARD from phase20 C.STABLE after vol effect reversed sign under HIGH TREND conditioning), EURJPY_AMR=E(OTHER/INCONCLUSIVE, consistent with phase20). Confirmatory filter experiment justified ONLY for AUDJPY AMR (not implemented, recommended as a separate pre-registered IS/OOS experiment). GBPJPY/EURJPY do not currently justify filter work. CADJPY would need an interaction-aware design, not a simple threshold. Directional asymmetry (Part8: BUY strong, SELL weak/collapses in high vol) flagged as possibly the more fundamental mechanism than volatility alone -- worth considering at the confirmatory-experiment design stage. No AMR/ARB/Monday-drift modified, no filter created, demo account untouched, 2026-08-25 checkpoint process unchanged. See reports/amr_regime_mechanism.md."
EXP-082,2026-08-11,audjpy_amr_confirmatory_filter,BASELINE: does this frozen modification improve AUDJPY AMR out-of-sample,AUDJPY,ASIAN,M15,{},,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,RESEARCH,CONTROL,"Frozen existing live AUDJPY AMR (z_thr=2.0, sl_mult=1.5, end_hour=4, spread=2.0, risk=0.25%). 652 trades 2023-07-31 to 2026-08-11. TRAIN PF=1.29, VALIDATION PF=1.02, OOS PF=1.14."
EXP-083,2026-08-11,audjpy_amr_confirmatory_filter,MODEL_A_volatility_filter: does this frozen modification improve AUDJPY AMR out-of-sample,AUDJPY,ASIAN,M15,{},,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,RESEARCH,PROMISING,"ATR percentile<75 (frozen, pre-existing threshold, not searched). OOS: n=170 PF=1.21 (vs baseline 1.14) expectancy=+18.34 (vs +12.86). Improves in all 3 years and TRAIN/VAL/OOS but modestly. Bootstrap OOS: mean_diff=+5.70, 95%CI=[-37.08,+45.19] (includes zero), P(A>baseline)=0.612 -- weak. Cost stress: still fails at 2x spread like baseline. Classification: PROMISING (real but not statistically convincing)."
EXP-084,2026-08-11,audjpy_amr_confirmatory_filter,MODEL_B_buy_only: does this frozen modification improve AUDJPY AMR out-of-sample,AUDJPY,ASIAN,M15,{},,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,RESEARCH,SUPPORTED,"Exclude SELL trades, BUY entry unchanged (frozen, from phase21 directional-asymmetry finding). OOS: n=140 PF=1.74 (vs baseline 1.14) expectancy=+49.79 (vs +12.86, ~4x). Improves in 10/11 walk-forward windows, all 3 years (2024:+39.25 vs+0.13; 2025:+44.64 vs+18.16; 2026:+32.95 vs+1.89), ONLY model surviving 2x spread stress (PF=1.08 vs baseline 0.83 losing). Trade-count check: 63.2% trades retained but 201.5% total-R retained (quality not just fewer-similar trades). Excluded SELL population independently confirmed net-losing historically (PF=0.70, total_R=-32.7) -- not cherry-picked. Bootstrap OOS: mean_diff=+37.49, 95%CI=[-5.95,+81.31] (barely includes zero), P(B>baseline)=0.954. Max DD improves (-2250 vs -2687), losing streak improves (4 vs 5), worst-10-trade-seq slightly worse (-1758 vs -1344, noted honestly). Classification: SUPPORTED."
EXP-085,2026-08-11,audjpy_amr_confirmatory_filter,MODEL_C_secondary: does this frozen modification improve AUDJPY AMR out-of-sample,AUDJPY,ASIAN,M15,{},,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,RESEARCH,EXPLORATORY_NOT_SELECTED,"A+B combined. OOS PF=1.83, expectancy=+52.89 -- slightly better than B alone on every metric, but per explicit instruction NOT used to select a winner; would require its own separate confirmatory registration if pursued."
EXP-086,2026-08-11,audjpy_amr_confirmatory_filter,Overall decision: does either pre-registered filter justify further validation,AUDJPY,ASIAN,M15,{},,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,RESEARCH,ONE FILTER JUSTIFIED FOR FURTHER VALIDATION,"Model A (volatility filter) = PROMISING, not strong enough alone. Model B (BUY-only) = SUPPORTED -- large, consistent improvement across TRAIN/VAL/OOS, 10/11 walk-forward windows, all 3 years, uniquely survives 2x spread cost stress, trade-count-penalty check passed (63.2% trades retained but 201.5% total-R retained), excluded SELL population independently confirmed net-losing. OOS bootstrap CI marginal (barely includes zero, P=0.954) -- not claimed as proof on its own, classification rests primarily on walk-forward+cost-stress+year consistency per instructions. SUPPORTED explicitly does NOT authorize a live change. Recommends exactly one next step: a separate final pre-registered validation gate for AUDJPY AMR BUY-only on fresh data, to be brought to the 2026-08-25 AMR checkpoint alongside phase21 mechanism findings. No strategy modified, no demo account change. See reports/audjpy_amr_confirmatory_filter.md."
EXP-087,2026-08-11,audjpy_amr_final_validation,Does genuinely fresh (post-phase22) historical AUDJPY data exist for a final validation gate,AUDJPY,ASIAN,M15,{},,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,NONE,DATA CHECK,"Re-fetched AUDJPY M15 at report time: latest available bar 2026-08-11 09:45 UTC, fetch time 2026-08-11 09:59 UTC -- essentially no calendar time has passed since phase22 FINAL OOS window (2025-08-07 to 2026-08-11) closed. Zero genuinely untouched historical bars exist. Constructing a new OOS window from this data would overlap phase22 TRAIN/VALIDATION/OOS entirely -- not a valid held-out test. Confirmed via direct re-fetch, not assumed."
EXP-088,2026-08-11,audjpy_amr_final_validation,Compile all AUDJPY AMR BUY-only evidence (mechanism + confirmatory + data-availability) for the 2026-08-25 AMR checkpoint,AUDJPY,ASIAN,M15,{},,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,NONE,CHECKPOINT EVIDENCE PREPARED,"Checkpoint summary compiled in reports/audjpy_amr_final_validation.md Section 13: (1) control PF=1.14 OOS, (2) BUY-only candidate PF=1.74 OOS (phase22, not re-run), (3) mechanism evidence (phase21: vol effect survives trend-conditioning, SELL collapses in high-vol, MAE>MFE in HIGH regime), (4) historical validation evidence (phase22: 10/11 walk-forward windows, all 3 years, survives 2x spread), (5) fresh validation evidence = NONE (see data check EXP-087), (6) cost stress = robust (not re-run, cited from phase22), (7) remaining uncertainty = OOS bootstrap CI still crosses zero + no data postdates the full research process, (8) recommended consideration for checkpoint (not a decision made here) = checkpoint may choose to open a prospective demo forward-validation period starting 2026-08-11 09:45 UTC under the fully frozen rule. Portfolio decision explicitly deferred to the checkpoint."
EXP-089,2026-08-11,audjpy_amr_final_validation,Final classification: is AUDJPY AMR BUY-only validated for demo forward testing,AUDJPY,ASIAN,M15,{},,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,NONE,B. INSUFFICIENT FRESH DATA,"Classification B: INSUFFICIENT FRESH DATA. Not A(FAILED) -- no test could be run to fail. Not C(PROMISING BUT NOT VALIDATED) alone -- undersells the specific cause. Not D(VALIDATED FOR DEMO FORWARD TESTING) -- would require an actual fresh-data test having been run and passed; none was possible. Per explicit instruction, did NOT manufacture an OOS window from already-used phase22 data. Prospective forward-validation period frozen to begin 2026-08-11 09:45 UTC (latest available bar at report time) under the fully frozen BUY-only spec, pending checkpoint decision to open it. No strategy modified (AUDJPY/CADJPY/GBPJPY/EURJPY AMR, ARB x3, Monday Drift all untouched), no demo account change, no deployment. Portfolio decision explicitly left to the 2026-08-25 checkpoint. See reports/audjpy_amr_final_validation.md."
EXP-090,2026-08-11,audjpy_amr_forward_validation,"Set up immutable, idempotent prospective forward-validation tracker for AUDJPY AMR BUY-only vs ORIGINAL",AUDJPY,ASIAN,M15,{},,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,NONE,TRACKER ESTABLISHED,"src/amr_forward_tracker.py created. Frozen start=2026-08-11 09:45 UTC. Records both ORIGINAL AMR and BUY-ONLY eligibility on every signal side-by-side with identical entry/spread/slippage/stop/target. Append-only trade log (data/audjpy_amr_forward_trades.csv), idempotent state file (data/audjpy_amr_forward_state.json), audit log for corrections (data/audjpy_amr_forward_audit_log.jsonl). First run: 0 prospective signals (0 calendar days elapsed since start). Strategy version pinned: phase22_model_B_buy_only@55e301e353ef271b00a766cee34b294bf66edc81."
EXP-091,2026-08-11,audjpy_amr_forward_validation,"Pre-registered forward-test completion criterion, frozen BEFORE any prospective data exists",AUDJPY,ASIAN,M15,{},,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,NONE,INSUFFICIENT FOR VALIDATION,"5 conditions required before declaring the forward test complete (not before declaring it PASSED -- a separate question): (1) >=50 independent closed BUY-only trades (~4-5mo at historical ~11-12/mo BUY frequency, exceeds project MIN_SAMPLE=20 precedent), (2) >=120 calendar days coverage, (3) >=2 calendar quarters spanned, (4) cost realism check (2.0pip spread assumption vs any real demo execution data), (5) bootstrap-CI stability check computed and reported honestly regardless of outcome (methodology from phase22 Part9). No project-standard prospective validation gate existed to reuse (existing gates are all historical IS/OOS designs) so this conservative fixed criterion was documented fresh. Current status: 0/5 conditions met (data collection just started). Default classification until met: INSUFFICIENT FOR VALIDATION. See reports/audjpy_amr_forward_validation.md."
EXP-092,2026-08-11,portfolio_drawdown_distribution_audit,Is the current prop-account losing period statistically normal for this 8-strategy portfolio,ALL_8,ALL,MIXED,{},,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,NONE,PORTFOLIO RECONSTRUCTION,"Combined 8-strategy portfolio, 3160 trades, 2023-07-31 to 2026-08-11, from data/phase20_trades.csv (EXP-066..075) with XAUUSD ARB dollar-pnl corrected x0.5 (phase20 reconstructed it at 0.50% risk, frozen live weight is 0.25%). Total R=+265.15, expectancy=+0.0839R, PF=1.248, win rate=64.5%. Max DD=-10.51% (2024-09-04 to 2024-12-12), max losing streak=14 trades, max losing days=7, max losing sessions=9. 101 distinct drawdown episodes, avg depth 0.88%, median 0.51%; 22/10/6/3/2 episodes >=1/2/3/4/5%."
